,dataset,perturbation,edist_to_unperturbed,pvalue,significant,pvalue_adj,significant_adj
0,PapalexiSatija2021_eccite_arrayed_RNA,ATF2,19.341576423201477,0.0,True,0.0,True
1,PapalexiSatija2021_eccite_arrayed_RNA,CAV1,37.631357151739536,0.0,True,0.0,True
2,PapalexiSatija2021_eccite_arrayed_RNA,ETV7,4.753140636590786,0.06,False,0.06,False
3,PapalexiSatija2021_eccite_arrayed_RNA,IFNGR1,112.1803160709838,0.0,True,0.0,True
4,PapalexiSatija2021_eccite_arrayed_RNA,IRF1,12.06362742071778,0.0,True,0.0,True
5,PapalexiSatija2021_eccite_arrayed_RNA,IRF7,8.291768378484363,0.0,True,0.0,True
6,PapalexiSatija2021_eccite_arrayed_RNA,MARCH8,14.954560999362371,0.0,True,0.0,True
7,PapalexiSatija2021_eccite_arrayed_RNA,PDL1,26.657219939582376,0.0,True,0.0,True
8,PapalexiSatija2021_eccite_arrayed_RNA,STAT2,18.730680355544365,0.0,True,0.0,True
9,PapalexiSatija2021_eccite_arrayed_RNA,control,0.0,0.0,True,0.0,True
10,PapalexiSatija2021_eccite_RNA,ATF2g1,-4.280844794574932,0.92,False,0.9999998720922852,False
11,PapalexiSatija2021_eccite_RNA,ATF2g2,4.760125844184984,0.11,False,0.994721016567467,False
12,PapalexiSatija2021_eccite_RNA,ATF2g3,0.0795516879296656,0.48,False,0.9999998720922852,False
13,PapalexiSatija2021_eccite_RNA,ATF2g4,-1.822387151730652,0.68,False,0.9999998720922852,False
14,PapalexiSatija2021_eccite_RNA,BRD4g1,53.41898256012132,0.0,True,0.0,True
15,PapalexiSatija2021_eccite_RNA,BRD4g3,-1.1326245661456935,0.57,False,0.9999998720922852,False
16,PapalexiSatija2021_eccite_RNA,BRD4g4,8.124083135858484,0.02,True,0.6572464104594461,False
17,PapalexiSatija2021_eccite_RNA,CAV1g1,-0.3055006872125432,0.52,False,0.9999998720922852,False
18,PapalexiSatija2021_eccite_RNA,CAV1g2,0.8763219158156517,0.32,False,0.999997029742376,False
19,PapalexiSatija2021_eccite_RNA,CAV1g3,2.1625423016447485,0.22,False,0.9999381001630672,False
20,PapalexiSatija2021_eccite_RNA,CAV1g4,-1.4077853131306597,0.54,False,0.9999998720922852,False
21,PapalexiSatija2021_eccite_RNA,CD86g1,1.663277344418475,0.32,False,0.999997029742376,False
22,PapalexiSatija2021_eccite_RNA,CD86g2,2.9758042090062986,0.17,False,0.9996007178643412,False
23,PapalexiSatija2021_eccite_RNA,CD86g3,-2.235559248102049,0.62,False,0.9999998720922852,False
24,PapalexiSatija2021_eccite_RNA,CD86g4,-2.841638239436861,0.76,False,0.9999998720922852,False
25,PapalexiSatija2021_eccite_RNA,CMTM6g1,1.542296905148362,0.25,False,0.9999761621685056,False
26,PapalexiSatija2021_eccite_RNA,CMTM6g2,0.5960958103609073,0.41,False,0.9999997736876066,False
27,PapalexiSatija2021_eccite_RNA,CMTM6g3,5.844009506142015,0.08,False,0.9817267535068012,False
28,PapalexiSatija2021_eccite_RNA,CUL3g1,2.2361510725139624,0.25,False,0.9999761621685056,False
29,PapalexiSatija2021_eccite_RNA,CUL3g2,9.908970202527255,0.06,False,0.9546692734392708,False
30,PapalexiSatija2021_eccite_RNA,ETV7g1,-1.0654891617191993,0.6,False,0.9999998720922852,False
31,PapalexiSatija2021_eccite_RNA,ETV7g2,-3.20551686654926,0.87,False,0.9999998720922852,False
32,PapalexiSatija2021_eccite_RNA,ETV7g3,-0.5775546921437922,0.43,False,0.9999997736876066,False
33,PapalexiSatija2021_eccite_RNA,ETV7g4,-0.111026999866624,0.45,False,0.9999998224053304,False
34,PapalexiSatija2021_eccite_RNA,IFNGR1g1,112.29556925993512,0.0,True,0.0,True
35,PapalexiSatija2021_eccite_RNA,IFNGR1g2,44.579420135877456,0.0,True,0.0,True
36,PapalexiSatija2021_eccite_RNA,IFNGR1g3,126.95931331445598,0.0,True,0.0,True
37,PapalexiSatija2021_eccite_RNA,IFNGR1g4,56.21567346258655,0.0,True,0.0,True
38,PapalexiSatija2021_eccite_RNA,IFNGR2g1,126.21758311701848,0.0,True,0.0,True
39,PapalexiSatija2021_eccite_RNA,IFNGR2g2,51.76401621063718,0.0,True,0.0,True
40,PapalexiSatija2021_eccite_RNA,IFNGR2g3,66.47436839345562,0.0,True,0.0,True
41,PapalexiSatija2021_eccite_RNA,IFNGR2g4,121.54560495014186,0.0,True,0.0,True
42,PapalexiSatija2021_eccite_RNA,IRF1g1,18.73608443870546,0.0,True,0.0,True
43,PapalexiSatija2021_eccite_RNA,IRF1g2,19.80540487380074,0.01,True,0.4303987975228406,False
44,PapalexiSatija2021_eccite_RNA,IRF1g3,47.87052481078905,0.0,True,0.0,True
45,PapalexiSatija2021_eccite_RNA,IRF1g4,72.21232417709552,0.0,True,0.0,True
46,PapalexiSatija2021_eccite_RNA,IRF7g1,-0.3401008440171722,0.5,False,0.9999998720922852,False
47,PapalexiSatija2021_eccite_RNA,IRF7g2,14.897375884503674,0.0,True,0.0,True
48,PapalexiSatija2021_eccite_RNA,IRF7g3,5.9336867064943135,0.08,False,0.9817267535068012,False
49,PapalexiSatija2021_eccite_RNA,IRF7g4,5.371536113077411,0.1,False,0.992144832788721,False
50,PapalexiSatija2021_eccite_RNA,JAK2g1,102.522463206393,0.0,True,0.0,True
51,PapalexiSatija2021_eccite_RNA,JAK2g2,87.51950333000224,0.0,True,0.0,True
52,PapalexiSatija2021_eccite_RNA,JAK2g3,107.09297173025448,0.0,True,0.0,True
53,PapalexiSatija2021_eccite_RNA,JAK2g4,110.66100223375958,0.0,True,0.0,True
54,PapalexiSatija2021_eccite_RNA,MARCH8g1,-3.8137943541297545,0.84,False,0.9999998720922852,False
55,PapalexiSatija2021_eccite_RNA,MARCH8g2,5.166156445672527,0.07,False,0.9714461627942228,False
56,PapalexiSatija2021_eccite_RNA,MARCH8g3,-1.6411925822653188,0.63,False,0.9999998720922852,False
57,PapalexiSatija2021_eccite_RNA,MARCH8g4,2.633949213943368,0.26,False,0.9999761621685056,False
58,PapalexiSatija2021_eccite_RNA,NFKBIAg1,5.155236652462463,0.21,False,0.9999365092082482,False
